Gene_Symbol,Entrez_GeneId,Genome_Location,Role_in_Cancer,n_tumor_types,n_project_cancers,matched_project_cancers,all_tumor_types
RASA1,5921,5:87267888-87390927,TSG,2,0,"",lung scc; oral scc
RB1,5925,13:48303726-48481890,TSG,4,1,breast,retinoblastoma; sarcoma; breast; small cell lung carcinoma
RECQL4,9401,8:144511291-144517826,"oncogene, TSG",3,0,"",osteosarcoma; skin basal cell; skin sqamous cell
RET,5979,10:43077027-43130351,"oncogene, fusion",5,0,"",medullary thyroid; papillary thyroid; pheochromocytoma; nsclc; spitzoid tumour
RHOA,387,3:49359145-49412202,"oncogene, TSG",3,0,"",diffuse gastric; t cell lymphomas; paediatric burkitt lymphoma
RMI2,116028,16:11345431-11351762,"TSG, fusion",2,0,"",pmbl; hodgkin lymphoma
RNF43,54894,17:58353676-58417533,TSG,3,1,ovarian,cholangiocarcinoma; ovary; pancreas
ROS1,6098,6:117288300-117425855,"oncogene, fusion",5,0,"",glioblastoma; nsclc; spitzoid tumour; cholangiocarcinoma; borderline ovarian
RPL22,6146,1:6185020-6199612,"TSG, fusion",2,0,"",aml; cml
RUNX1,861,21:34787801-35049344,"oncogene, TSG, fusion",3,0,"",aml; pre b-all; t-all
SALL4,57167,20:51782331-51802520,oncogene,5,3,breast; prostate; colorectal,colorectal cancer; breast cancer; prostate cancer; glioblastoma; melanoma
SBDS,51119,7:66987677-66995601,TSG,2,0,"",aml; mds
SDHA,6389,5:218241-256700,TSG,2,0,"",gist; paraganglioma
SDHB,6390,1:17018722-17054170,TSG,2,0,"",paraganglioma; pheochromocytoma
SDHC,6391,1:161314257-161375340,TSG,2,0,"",paraganglioma; pheochromocytoma
SDHD,6392,11:112086773-112095794,TSG,2,0,"",paraganglioma; pheochromocytoma
SETBP1,26040,18:44680898-45068510,"oncogene, fusion",6,0,"",acml; saml; mds/mpn-u; cmml; jmml; neuroepithelial tumours
SFRP4,6424,7:37905932-37916915,TSG,5,1,colorectal,colorectal cancer; melanoma; scc; gastric cancer; oesophageal scc
SH2B3,10019,12:111405948-111451623,TSG,4,0,"",mpn; saml; erythrocytosis; b-all
SMAD2,4087,18:47808957-47930559,TSG,2,1,colorectal,colorectal carcinoma; hepatocellular carcinoma
SMAD3,4088,15:67065845-67195195,TSG,2,1,colorectal,colorectal carcinoma; oral squamous cell carcinoma
SMAD4,4089,18:51030213-51085039,TSG,4,1,colorectal,colorectal; pancreatic; small intestine; gastrointestinal polyp
SMARCA4,6597,19:10960825-11062282,TSG,2,0,"",nsclc; sccoht
SOCS1,8651,16:11254417-11256200,TSG,2,0,"",hodgkin lymphoma; pmbl
SOS1,6654,2:38981396-39121051,"oncogene, fusion",2,0,"",lung adenocarcinoma; follicular thyroid adenoma
SOX2,6657,3:181711924-181714436,oncogene,2,0,"",nsclc; oesophageal squamous cell carcinoma
SPEN,23013,1:15847864-15940460,TSG,3,0,"",smzl; adenoid cystic carcinoma; dlbcl
SPOP,8405,17:49598884-49678110,TSG,3,1,prostate,prostate; endometrial; prostate cancer
SRC,6714,20:37346154-37406050,oncogene,2,1,colorectal,colorectal cancer; endometrial carcinoma
SRSF2,6427,17:76734115-76737333,oncogene,2,0,"",mds; cll
STAG2,10735,X:123960519-124101498,TSG,5,0,"",bladder carcinoma; glioblastoma; melanoma; ewing's sarcoma; myeloid neoplasms
STAT3,6774,17:42313324-42388568,oncogene,2,0,"",t-cell large granular lymphocytic leukaemia; paediatric large granular lymphocytic leukaemia
STAT5B,6777,17:42199168-42276406,"oncogene, TSG, fusion",3,0,"",large granular lymphocytic leukaemia; skin basal cell; apl
STAT6,6778,12:57095408-57111433,"oncogene, fusion",2,0,"",solitary fibrous tumour; meningeal haemangiopericytoma
STK11,6794,19:1206464-1228435,TSG,5,1,ovarian,nsclc; pancreatic; jejunal hamartoma; ovarian; testicular
STRN,6801,2:36843640-36966472,fusion,3,1,lung,anaplastic thyroid; papillary thyroid; lung
SYK,6850,9:90801787-90898549,"oncogene, fusion",2,0,"",mds; peripheral t-cell lymphoma
TAF15,8148,17:35809455-35847242,"oncogene, fusion",2,0,"",extraskeletal myxoid chondrosarcoma; all
TBL1XR1,79718,3:177019355-177196478,"oncogene, TSG, fusion",4,1,colorectal,splenic marginal zone lymphoma; primary central nervous system lymphoma; colorectal carcinoma; gallbladder carcinoma
TBX3,6926,12:114670255-114683590,"oncogene, TSG",3,2,breast; colorectal,breast; large intestine; skin
TERT,7015,5:1253167-1295047,"oncogene, TSG",9,0,"",melanoma; glioblastoma; hepatocellular carcinoma; bladder; skin basal cell; skin squamous cell; mesothelioma; medulloblastoma; other tumour types
TFE3,7030,X:49028731-49043486,"oncogene, fusion",3,0,"",papillary renal; alveolar soft part sarcoma; renal
TFG,10342,3:100709425-100748966,fusion,4,0,"",papillary thyroid; alcl; nsclc; extraskeletal myxoid chondrosarcoma
TGFBR2,7048,3:30606601-30694142,TSG,2,1,colorectal,head and neck; colorectal
TMEM127,55654,2:96248516-96265994,TSG,2,0,"",pheochromocytoma; renal cell carcinoma
TNFAIP3,7128,6:137867188-137883311,TSG,3,0,"",marginal zone b-cell lymphomas; hodgkin lymphoma; pmbl
TP53,7157,17:7668402-7687538,"oncogene, TSG, fusion",10,4,breast; prostate; colorectal; lung,breast; colorectal; lung; sarcoma; prostate; adrenocortical; glioma; spitzoid tumour; multiple other tumour types; adrenocortical carcinoma
TP63,8626,3:189631427-189897279,"oncogene, TSG",3,0,"",hnscc; dlbcl; nsclc
TPM3,7170,1:154167465-154192211,"TSG, fusion",4,0,"",papillary thyroid; alcl; nsclc; spitzoid tumour
TPR,7175,1:186311652-186375325,fusion,2,0,"",papillary thyroid; nsclc
TSC1,7248,9:132891348-132944633,TSG,4,0,"",renal cell carcinoma; bladder carcinoma; hamartoma; tuberous sclerosis tuber
TSC2,7249,16:2047465-2088720,TSG,6,0,"",pulmonary lymphangioleiomyomatosis (lam); renal angiomyolipoma; hnscc; hamartoma; renal cell carcinoma; tuberous sclerosis tuber
U2AF1,7307,21:43092956-43107587,oncogene,2,0,"",cll; mds
UBR5,51366,8:102253012-102412841,oncogene,3,1,colorectal,mantle cell lymphoma; gastric; colorectal
VHL,7428,3:10141008-10152220,TSG,3,0,"",renal; haemangioma; pheochromocytoma
WRN,7486,8:31033801-31173769,TSG,3,0,"",osteosarcoma; meningioma; other tumour types
WT1,7490,11:32387775-32435630,"oncogene, TSG, fusion",2,0,"",wilms tumour; desmoplastic small round cell tumour
XPA,7507,9:97674909-97697357,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
XPC,7508,3:14145147-14178783,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
YAP1,10413,11:102110461-102233423,"fusion, oncogene",3,0,"",cervical carcinoma; glioblastoma; meningioma
ZFHX3,463,16:72782885-73891871,TSG,3,1,prostate,endometrial; gastric; prostate
ZMYM2,7750,13:19958670-20091829,fusion,2,0,"",mpn; nhl
ZRSR2,8233,X:15790472-15823260,TSG,2,0,"",mds; cll
