Gene_Symbol,Entrez_GeneId,Genome_Location,Role_in_Cancer,n_tumor_types,n_project_cancers,matched_project_cancers,all_tumor_types
IRS4,8471,X:108732482-108736409,"oncogene, TSG",5,1,breast,glioma; rhabdomyosarcoma; melanoma; breast cancer; t-all
JAK2,3717,9:4985245-5128183,"oncogene, fusion",4,0,"",all; aml; mpn; cml
JAK3,3718,19:17824786-17848032,oncogene,2,0,"",acute megakaryocytic leukaemia; etp all
KAT6B,23522,10:74826625-75032622,"TSG, fusion",2,0,"",aml; leiomyoma
KDM6A,7403,X:44873511-45112602,"oncogene, TSG",7,0,"",renal cell carcinoma; bladder carcinoma; oesophageal scc; mm; medulloblastoma; t-all; other tumour types
KDR,3791,4:55078259-55125595,oncogene,3,0,"",nsclc; angiosarcoma; melanoma
KEAP1,9817,19:10486120-10503741,TSG,2,1,breast,nsclc; breast carcinoma
KIF5B,3799,10:32009010-32056431,fusion,2,0,"",nsclc; spitzoid tumour
KIT,3815,4:54657918-54740715,oncogene,6,0,"",gist; aml; tgct; mastocytosis; mucosal melanoma; epithelioma
KLF6,1316,10:3775996-3785275,TSG,2,1,prostate,prostate; glioma
KMT2A,4297,11:118436490-118526832,"oncogene, fusion",2,0,"",aml; all
KMT2D,8085,12:49018975-49055324,"oncogene, TSG",2,0,"",medulloblastoma; renal
KRAS,3845,12:25209431-25250803,oncogene,6,2,colorectal; lung,pancreatic; colorectal; lung; thyroid; aml; other tumour types
LEF1,51176,4:108047545-108168422,"oncogene, TSG",5,0,"",b-all; t-all; eyelid sebaceous carcinoma; aml; lymphomas
LMO1,4004,11:8224304-8263858,"oncogene, fusion",2,0,"",t-all; neuroblastoma
LPP,4026,3:188212933-188890671,"oncogene, fusion",2,0,"",lipoma; leukaemia
LRP1B,53353,2:140231423-142131701,TSG,4,1,ovarian,cll; ovarian cancer; oesophageal squamous cell carcinoma; urothelial cancer
LZTR1,8216,22:20982013-20999038,TSG,2,0,"",glioblastoma; schwannoma
MAP2K1,5604,15:66386817-66492312,oncogene,3,1,colorectal,nsclc; melanoma; colorectal
MAP2K2,5605,19:4090321-4124129,oncogene,2,0,"",nsclc; melanoma
MAP2K4,6416,17:12020834-12143830,"oncogene, TSG",3,2,breast; colorectal,pancreatic; breast; colorectal
MAPK1,5594,22:21754500-21867629,oncogene,3,0,"",cll; ovarian mixed germ cell tumour; cervical carcinoma
MAX,4149,14:65075544-65102470,TSG,3,0,"",pheochromocytoma; endometrioid carcinoma; colon carcinoma
MDM2,4193,12:68808176-68850686,oncogene,4,1,colorectal,sarcoma; glioma; colorectal; other tumour types
MDM4,4194,1:204516383-204558120,oncogene,3,0,"",glioblastoma; bladder; retinoblastoma
MECOM,2122,3:169083499-169146305,"oncogene, fusion",3,0,"",aml; cml; mds
MED12,9968,X:71118723-71142447,TSG,3,0,"",uterine leiomyoma; fibroadenoma; phyllodes tumour
MEN1,4221,11:64803524-64811294,TSG,6,0,"",parathyroid tumours; pancreatic neuroendocrine tumour; parathyroid adenoma; pituitary adenoma; pancreatic islet cell; carcinoid
MET,4233,7:116672405-116796342,oncogene,2,0,"",papillary renal; head-neck squamous cell
MLH1,4292,3:36993332-37050918,TSG,5,2,colorectal; ovarian,colorectal; endometrial; ovarian; cns tumours; cns
MN1,4330,22:27748277-27801498,"oncogene, fusion",2,0,"",aml; mds
MSH2,4436,2:47402969-47483228,TSG,3,2,colorectal; ovarian,colorectal; endometrial; ovarian
MSH6,2956,2:47783082-47810101,TSG,3,2,colorectal; ovarian,colorectal; endometrial; ovarian
