entrez_id,node_idx,degree,gene_symbol,zstat_brca,p_brca,zstat_coca,p_coca,zstat_luca,p_luca,zstat_ovca,p_ovca,zstat_prca,p_prca
1670,2839,14,DEFA5,-0.89495,0.81459,-0.02406,0.5096,0.27471,0.39177,-0.52055,0.69866,1.1138,0.13268
1671,2840,6,DEFA6,0.90151,0.18366,1.5833,0.056672,-0.70862,0.76072,-0.083827,0.5334,0.6277,0.2651
167127,2841,1,UGT3A2,0.040514,0.48384,1.7196,0.04275,0.16008,0.43641,0.27829,0.39039,3.3189,0.00045185
167153,2842,10,TENT2,1.055,0.14571,0.22177,0.41224,0.91631,0.17975,0.82109,0.2058,1.5227,0.06392
1672,2843,34,DEFB1,-0.29316,0.6153,0.75129,0.22624,-0.99077,0.8391,0.60403,0.27291,0.26591,0.39516
167227,2844,53,DCP2,-0.59668,0.72464,0.70794,0.23949,-0.43805,0.66932,-1.8103,0.96488,-1.5573,0.9403
1673,2845,29,DEFB4A,-0.48259,0.68531,2.3443,0.0095307,0.396488,0.406508,0.274841,0.43436,-0.73861,0.76993
1674,2846,15,DES,-0.042218,0.51684,-0.39533,0.6537,-0.73912,0.77008,-0.49537,0.68983,-0.3715,0.64487
167410,2847,5,LIX1,-1.0514,0.85346,1.5184,0.064455,0.044647,0.48219,-0.036782,0.51467,1.0345,0.15046
167465,2848,1,ZNF366,1.1297,0.1293,-0.070897,0.52826,0.11781,0.45311,-0.43789,0.66927,-0.55498,0.71055
1675,2849,7,CFD,-0.088062,0.53509,-0.78439,0.78359,-1.0132,0.84451,-2.0519,0.97991,2.8227,0.0023807
1676,2850,9,DFFA,4.6082,2.0305e-06,-0.26476,0.6044,1.4123,0.078934,0.80965,0.20907,6.2747,1.7512e-10
167691,2851,24,LCA5,0.31699,0.37562,1.5416,0.061585,0.71034,0.23875,-1.2751,0.89887,0.73704,0.23055
1677,2852,15,DFFB,-0.53668,0.70426,-1.4139,0.9213,0.67334,0.25036,0.22985,0.40911,-0.025749,0.51027
1678,2853,19,TIMM8A,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
167826,2854,1,OLIG3,0.84023,0.20039,0.7276,0.23343,-1.3278,0.90788,2.5563,0.0052893,0.89668,0.18494
167838,2855,6,TXLNB,0.63792,0.26176,0.24163,0.40453,0.61144,0.27045,1.1682,0.12137,0.66156,0.25413
168002,2856,2,DACT2,-0.12813,0.55098,0.76061,0.22344,0.62797,0.26501,0.21641,0.41433,0.48787,0.31282
168374,2857,1,ZNF92,0.089616,0.4643,0.26922,0.39388,1.282,0.099921,-0.39091,0.65207,0.25835,0.39807
168391,2858,5,GALNTL5,0.41846,0.33781,0.25243,0.40036,0.35006,0.36315,-0.61947,0.7322,-0.36355,0.6419
168400,2859,5,DDX53,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
168451,2860,1,THAP5,1.3995,0.080829,2.7277,0.0031892,-1.1199,0.86863,0.96315,0.16774,2.088,0.018399
168507,2861,2,PKD1L1,2.1553,0.015569,-0.13337,0.55305,0.49228,0.31126,0.71265,0.23803,0.62156,0.26712
168537,2862,6,GIMAP7,2.8124,0.0024587,1.2562,0.10453,-0.5771,0.71806,1.5154,0.064837,-1.3359,0.90922
168544,2863,1,ZNF467,2.123,0.016877,1.9968,0.022921,-0.5461,0.7075,-0.30756,0.62079,0.14528,0.44224
168667,2864,8,BMPER,0.67796,0.2489,0.90234,0.18344,-1.3794,0.91611,-0.5257,0.70045,0.12796,0.44909
1687,2865,10,GSDME,1.4528,0.073146,-1.2637,0.89683,-0.13153,0.55232,0.69247,0.24432,1.393,0.081816
1690,2866,6,COCH,0.81204,0.20839,2.494,0.0063148,0.3956,0.3462,-0.8431,0.80042,1.7486,0.040183
169026,2867,20,SLC30A8,0.22191,0.41219,5.9025,1.7906e-09,-0.43946,0.66984,-0.22568,0.58927,1.1509,0.12489
169044,2868,3,COL22A1,2.3032,0.010635,-1.0779,0.85947,-0.75243,0.7741,1.0395,0.14928,1.5821,0.056815
169355,2869,38,IDO2,-1.565,0.94121,-1.5054,0.93389,-0.28647,0.61274,-0.39409,0.65324,0.27757,0.39067
169522,2870,4,KCNV2,-0.16968,0.56737,0.77263,0.21987,-0.27425,0.60805,-0.93606,0.82538,1.7098,0.043653
169714,2871,2,QSOX2,2.343,0.0095655,1.2264,0.11002,0.21201,0.41605,0.68434,0.24688,0.61489,0.26931
169792,2872,8,GLIS3,-0.0035611,0.50142,0.86221,0.19429,1.0802,0.14003,0.024204,0.49034,2.0098,0.022228
169841,2873,1,ZNF169,1.2557,0.10461,0.61206,0.27025,1.8127,0.034938,-0.10839,0.54316,-1.6096,0.94626
169981,2874,1,SPIN3,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170082,2875,2,TCEANC,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170261,2876,3,ZCCHC12,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170302,2877,8,ARX,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170384,2878,1,FUT11,-0.9666,0.83313,0.96956,0.16613,-0.053548,0.52135,0.1227,0.45117,0.88841,0.18716
170394,2879,1,PWWP2B,0.74905,0.22691,-0.01424,0.50568,-0.39573,0.65385,-0.30792,0.62093,-1.3841,0.91683
170463,2880,12,SSBP4,4.6922,1.3515e-06,0.88899,0.187,0.58901,0.27793,0.0087443,0.49651,1.1531,0.12443
170482,2881,10,CLEC4C,0.69266,0.24426,0.078269,0.46881,1.4975,0.067134,-1.2301,0.89067,1.0445,0.14813
170487,2882,2,ACTL10,2.4009,0.0081763,2.023,0.021538,0.71007,0.23883,0.31334,0.37701,3.0445,0.0011652
170506,2883,11,DHX36,1.0069,0.15698,0.38182,0.3513,0.69663,0.24302,1.4751,0.070095,4.3967,5.4967e-06
170572,2884,4,HTR3C,0.49279,0.31108,-0.42176,0.6634,1.1441,0.12629,-1.0007,0.84151,3.5621,0.00018395
170575,2885,6,GIMAP1,1.6968,0.044867,-0.37468,0.64605,-1.2624,0.8966,2.4295,0.0075594,0.20485,0.41885
170589,2886,8,GPHA2,2.4843,0.0064902,0.27816,0.39044,-1.8974,0.97112,-1.4009,0.91938,2.8385,0.0022665
170622,2887,22,COMMD6,1.2491,0.10582,1.2942,0.097801,0.050346,0.47992,0.83679,0.20136,3.3604,0.00038908
170626,2888,2,XAGE3,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170679,2889,2,PSORS1C1,2.5315,0.0056782,5.4193,2.9914e-08,6.6638,1.3342e-11,-0.77631,0.78122,7.0572,8.4938e-13
170680,2890,2,PSORS1C2,2.5731,0.0050396,5.3911,3.5008e-08,5.3834,3.655e-08,-1.1874,0.88246,6.1094,5e-10
170685,2891,4,NUDT10,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
170691,2892,2,ADAMTS17,0.9165,0.1797,0.82861,0.20366,0.0021038,0.49916,0.59013,0.27755,0.054038,0.47845
170712,2893,33,COX7B2,1.2914,0.098275,1.8493,0.032209,1.9421,0.026066,-0.24069,0.5951,0.95794,0.16905
170825,2894,1,GSX2,-1.782,0.96263,-0.20189,0.58,1.0027,0.158,-0.98006,0.83647,-0.099656,0.53969
170850,2895,1,KCNG3,-0.44678,0.67248,1.6825,0.046236,-0.55257,0.70972,2.0271,0.021327,4.9249,4.2197e-07
170954,2896,3,PPP1R18,2.0031,0.022583,2.1857,0.014417,2.6446,0.0040891,-0.7722,0.78,3.1603,0.00078814
170959,2897,1,ZNF431,-1.0986,0.86404,-1.2068,0.88624,0.019393,0.49226,0.70015,0.24192,1.762,0.039033
171017,2898,4,ZNF384,0.85513,0.19624,-0.3103,0.62183,0.49676,0.30968,-0.034699,0.51384,0.45324,0.32519
171023,2899,64,ASXL1,0.40527,0.34264,0.8168,0.20702,2.5178,0.0059047,0.70286,0.24107,0.41598,0.33871
171024,2900,5,SYNPO2,0.33865,0.36744,1.264,0.10312,1.2886,0.098768,2.5675,0.0051223,2.1897,0.014273
171169,2901,2,SPACA4,0.77602,0.21887,4.2177,1.2342e-05,0.8063,0.21004,-0.13224,0.5526,-0.25527,0.60074
171177,2902,9,RHOV,1.8527,0.031962,1.1337,0.12845,0.81252,0.20825,-0.78851,0.7848,1.3698,0.085367
171222,2903,20,UBE2L5,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
171389,2904,25,NLRP6,-0.37169,0.64494,1.7581,0.039362,-0.12462,0.54959,-0.95366,0.82987,1.8604,0.031416
171425,2905,1,CLYBL,-1.2175,0.88829,3.5664,0.00018099,1.4016,0.080511,2.1773,0.014729,-0.80669,0.79008
171482,2906,1,FAM9A,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
171546,2907,9,SPTSSA,0.14916,0.44071,-0.3445,0.63476,-0.40067,0.65567,0.18038,0.42843,-0.27953,0.61008
171558,2908,3,PTCRA,1.0844,0.13908,0.43905,0.33031,0.77146,0.22022,1.0072,0.15692,0.96939,0.16618
171568,2909,28,POLR3H,0.71218,0.23818,0.6111,0.27057,0.49094,0.31173,1.5996,0.054844,3.5532,0.00019029
1716,2910,43,DGUOK,2.1385,0.016239,-1.3182,0.90627,0.52201,0.30083,0.60319,0.27319,-0.29332,0.61536
1717,2911,42,DHCR7,1.2037,0.11435,-0.47038,0.68096,0.29421,0.3843,0.22121,0.41246,-0.23025,0.59105
1718,2912,34,DHCR24,-0.77479,0.78077,3.5666,0.00018082,0.87437,0.19096,0.80917,0.20921,0.63774,0.26182
1719,2913,44,DHFR,-0.083847,0.53341,0.82247,0.2054,1.5083,0.065734,0.2767,0.39101,-1.099,0.86412
1723,2914,39,DHODH,1.0549,0.14574,0.20114,0.4203,-0.10528,0.54192,-0.31992,0.62548,1.9514,0.025503
1725,2915,9,DHPS,-0.06957,0.52773,-0.69447,0.75631,-1.6293,0.94838,1.9162,0.027669,0.86983,0.1922
1727,2916,17,CYB5R3,0.30528,0.38008,2.0712,0.019169,-0.89782,0.81536,-0.22045,0.58724,1.0876,0.13838
1728,2917,34,NQO1,0.77461,0.21928,2.0149,0.021957,2.088,0.018399,0.49252,0.31117,1.4718,0.070535
1729,2918,20,DIAPH1,1.1454,0.12602,1.1006,0.13553,-1.1829,0.88159,-0.26606,0.6049,0.2745,0.39185
173,2919,4,AFM,0.65701,0.25559,2.2554,0.012054,-0.044341,0.51768,-0.16348,0.56493,2.7565,0.0029215
1730,2920,14,DIAPH2,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1731,2921,14,SEPTIN1,0.074988,0.47011,0.67697,0.24921,1.2896,0.098596,0.84782,0.19827,0.37279,0.35465
1733,2922,10,DIO1,0.69458,0.24366,0.94265,0.17293,-0.65354,0.7433,0.047786,0.48094,-0.7636,0.77745
1734,2923,17,DIO2,0.4512,0.32592,-0.77118,0.7797,-0.87531,0.8093,-0.30204,0.61869,-0.36194,0.6413
1735,2924,5,DIO3,-0.2399,0.5948,0.59502,0.27592,-0.64864,0.74172,-1.4132,0.9212,-1.5649,0.94119
1736,2925,121,DKC1,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1737,2926,67,DLAT,-0.18611,0.57382,0.66417,0.25329,0.30857,0.37882,-0.31822,0.62484,1.0555,0.1456
1738,2927,66,DLD,0.045106,0.48201,0.17128,0.432,0.57241,0.28352,0.074094,0.47047,0.82137,0.20572
1739,2928,67,DLG1,-0.56283,0.71323,2.041,0.020626,1.5626,0.059072,0.16839,0.43314,0.93112,0.1759
174,2929,42,AFP,1.5005,0.066741,0.44838,0.32694,-0.70622,0.75998,0.84692,0.19852,4.7021,1.2876e-06
1740,2930,42,DLG2,-0.43358,0.6677,2.3953,0.0083034,-0.45133,0.67412,0.62045,0.26748,0.10012,0.46012
1741,2931,52,DLG3,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1742,2932,177,DLG4,-0.15555,0.56181,3.2579,0.00056113,0.30343,0.38078,-0.69537,0.75659,0.71272,0.23801
1743,2933,60,DLST,-1.3004,0.90328,-0.62178,0.73296,1.1582,0.1234,0.19549,0.42251,4.6698,1.5077e-06
1745,2934,5,DLX1,1.1472,0.12565,0.8131,0.20808,0.72325,0.23476,0.95269,0.17037,1.2366,0.10812
1746,2935,10,DLX2,3.5524,0.0001909,0.72799,0.23331,0.73668,0.23066,0.1865,0.42603,1.4665,0.071254
1747,2936,5,DLX3,-0.63152,0.73615,-0.17451,0.56927,-0.16806,0.56673,0.58667,0.27871,2.5001,0.0062074
1749,2937,14,DLX5,2.3289,0.0099323,-1.0049,0.84252,0.80089,0.2116,-0.4095,0.65891,0.52487,0.29984
175,2938,6,AGA,0.83565,0.20168,1.8732,0.03052,0.57861,0.28143,2.061,0.01965,0.12254,0.45124
1750,2939,6,DLX6,1.2125,0.11267,-0.84411,0.8007,0.16212,0.43561,-0.21738,0.58604,-0.040583,0.51619
